"MSOA11CD","WIMD 2019","IMD MSOA Deciles"
"W02000346",1591.23443037975,"10 least deprived"
"W02000347",1418.97868515665,"9"
"W02000348",1252.05800405268,"8"
"W02000349",237.026752539014,"1st most deprived"
"W02000350",1301.14262466581,"8"
"W02000351",695.20036101083,"4"
"W02000352",520.307805596465,"2"
"W02000353",917.7859527121,"5"
"W02000354",958.430750563356,"5"
"W02000355",1540.60440048894,"9"
"W02000356",124.248925434498,"1st most deprived"
"W02000357",579.636614420063,"3"
"W02000358",1539.97012302285,"9"
"W02000359",405.741665227155,"2"
"W02000360",390.490004578056,"2"
"W02000361",400.990266794125,"2"
"W02000362",1389.11694747275,"9"
"W02000363",879.570678796361,"5"
"W02000364",98.2485448195576,"1st most deprived"
"W02000365",427.615773259396,"2"
"W02000366",1541.44209022735,"9"
"W02000367",1822.59033684927,"10 least deprived"
"W02000368",1803.97693234636,"10 least deprived"
"W02000369",1685.28805138148,"10 least deprived"
"W02000370",1791.60347719994,"10 least deprived"
"W02000371",1144.00687903482,"7"
"W02000372",1800.74243367792,"10 least deprived"
"W02000373",494.893358689292,"2"
"W02000374",1717.13218488828,"10 least deprived"
"W02000375",648.832815245303,"3"
"W02000376",1205.28121436716,"7"
"W02000377",944.346285871207,"5"
"W02000378",1727.9732166891,"10 least deprived"
"W02000379",109.618340477649,"1st most deprived"
"W02000380",1795.25784563189,"10 least deprived"
"W02000381",524.634066955983,"2"
"W02000382",161.029218647406,"1st most deprived"
"W02000383",523.129080932785,"2"
"W02000384",1788.89407446251,"10 least deprived"
"W02000385",1819.04862662636,"10 least deprived"
"W02000386",1608.48129209279,"10 least deprived"
"W02000387",1629.51979149699,"10 least deprived"
"W02000388",1026.21048182587,"6"
"W02000389",655.213364323068,"3"
"W02000390",1703.97465224111,"10 least deprived"
"W02000391",1190.05173133083,"7"
"W02000392",1735.55680539933,"10 least deprived"
"W02000393",713.825382401939,"4"
"W02000394",1087.29599115844,"7"
"W02000395",1153.00525195174,"7"
"W02000396",919.993702608919,"5"
"W02000397",739.05434277752,"4"
"W02000398",886.698275862069,"5"
"W02000399",455.850954406092,"2"
"W02000400",1228.66239570918,"8"
"W02000401",1330.89438502674,"8"
"W02000402",238.475219389887,"1st most deprived"
"W02000403",315.616299265197,"1st most deprived"
"W02000404",223.826340515147,"1st most deprived"
"W02000405",27.3656658968437,"1st most deprived"
"W02000406",689.018200089326,"3"
"W02000407",193.745569994093,"1st most deprived"
"W02000408",156.413550135501,"1st most deprived"
"W02000409",718.295357260454,"4"
"W02000410",319.274832214765,"1st most deprived"
"W02000411",264.293011548712,"1st most deprived"
"W02000412",414.872740315638,"2"
"W02000414",1349.17538664034,"8"
"W02000415",177.70905707196,"1st most deprived"
"W02000416",807.570835392981,"4"
"W02000417",599.702788157517,"3"
"W02000418",1109.62867262336,"7"
"W02000419",908.977648929206,"5"
"W02000420",1603.6019034191,"10 least deprived"
"W02000421",1044.68522747233,"6"
"W02000422",1585.84784279284,"10 least deprived"
"W02000423",657.76120527307,"3"
