"GEOGRAPHY_CODE","expected","COVID-19","SMR","COVID-19 AMR"
"E02000091",12.4083361804144,17,1.37004669706106,108.313670263475
"E02000092",5.0661606488587,9,1.7764932112896,140.446672602976
"E02000093",7.13239418829224,19,2.6639021201588,210.603781955757
"E02000094",5.17210317519828,10,1.93344944237634,152.855377719521
"E02000095",8.1818210152342,8,0.977777439167191,77.301498820591
"E02000096",7.17260741782323,8,1.11535450554854,88.1781185999103
"E02000097",5.84984159241142,11,1.88039279803226,148.660805451949
"E02000098",5.27556392514806,27,5.11793627810931,404.615743131785
"E02000099",5.63852711925271,8,1.41881023728414,112.168836680746
"E02000100",6.02845095972401,15,2.48820138045657,196.713166383324
"E02000101",6.1796656763519,28,4.53098945257658,358.212678871771
"E02000102",3.64429813413565,10,2.74401260048714,216.937186626959
"E02000103",5.82612349402954,7,1.20148500236451,94.9874560128368
