"IZ2011_Code","SIMD2020v2_Rank","IMD IZ Deciles"
"S02001461",5382.58876811594,"9"
"S02001462",883.539144736842,"1st most deprived"
"S02001463",2453.22357981593,"3"
"S02001464",814.887945670628,"1st most deprived"
"S02001465",2906.28523180841,"4"
"S02001466",1871.42758279782,"2"
"S02001467",3521.53087960075,"6"
"S02001468",3700.33342473266,"6"
"S02001469",1291.8672985782,"2"
"S02001470",4301.31270096463,"7"
"S02001471",1301.97780269058,"2"
"S02001472",806.451867316168,"1st most deprived"
"S02001473",1094.0623659757,"1st most deprived"
"S02001474",1078.40449991788,"1st most deprived"
"S02001475",5866.23474533535,"10 least deprived"
"S02001476",1108.57762413576,"1st most deprived"
"S02001477",1857.62629925066,"2"
"S02001478",2631.28151260504,"4"
"S02001479",2081.29929577465,"3"
"S02001480",3703.60976837865,"6"
"S02001481",2223.68270042194,"3"
"S02001482",1719.21831775701,"2"
"S02001483",1612.93902439024,"2"
"S02001484",3103.22951667097,"5"
"S02001485",1472.33757100352,"2"
"S02001486",4737.5341192097,"8"
"S02001487",4743.12987642355,"8"
"S02001488",3377.03863359089,"5"
"S02001489",3146.86963309914,"5"
"S02001490",1595.98855917054,"2"
"S02001491",2925.41722548198,"4"
"S02001492",2096.75995046878,"3"
"S02001493",494.457658068934,"1st most deprived"
"S02001494",1835.08672735985,"2"
"S02001495",2109.96616143814,"3"
"S02001496",4012.2385549673,"7"
"S02001497",2519.81355349157,"3"
"S02001498",2330.08230112854,"3"
"S02001499",5646.53714773698,"9"
"S02001500",1294.49401262791,"2"
"S02001501",912.382453151618,"1st most deprived"
"S02001502",2090.0555836281,"3"
"S02001503",6261.13887454827,"10 least deprived"
"S02001504",3503.99314906686,"5"
"S02001505",3033.70346083789,"4"
"S02001506",5957.51362150381,"10 least deprived"
"S02001507",3852.70175438596,"6"
"S02001508",6104.6734077875,"10 least deprived"
"S02001509",5333.58485378655,"9"
"S02001510",6596.66621113768,"10 least deprived"
"S02001511",6298.79451690178,"10 least deprived"
"S02001512",6050.16982816336,"10 least deprived"
"S02001513",5956.12600854295,"10 least deprived"
"S02001514",5630.66446911867,"9"
"S02001515",5736.91538461538,"9"
"S02001516",6675.80666049954,"10 least deprived"
"S02001517",6262.72108370962,"10 least deprived"
"S02001518",4803.51122194514,"8"
"S02001519",5901.68170279242,"10 least deprived"
"S02001520",5384.47808156408,"9"
"S02001521",3108.10481586402,"5"
"S02001522",6160.95146443515,"10 least deprived"
"S02001523",5688.2441314554,"9"
"S02001524",5037.74848662371,"8"
"S02001525",6343.42874768661,"10 least deprived"
"S02001526",4156.23483535529,"7"
"S02001527",3164.38318854191,"5"
